Nombre Estacion	Provincia	Fecha	Temperatura media diaria	Temperatura de rocio	 Presion reducida al nivel medio del mar (hpa)	Presion al nivel de la estacion (hpa)	Visibilidad en km	 Viento medio (m/s)	Máximo viento sostenido (m/s)	 Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Neblina	Lluvia	Nieve o agua nieve	Granizo	random
Gualeguaychu_Aero	Entre_Rios	10630	10,3	2,6	1021,1	1018,3	15	2,2	4,1	18,6	0,5	0	0	0	0	0,621384938
Concordia_Aero	Entre_Rios	10622	9,1	5,4	1013,8	1009,1	14,3	1,2	2,1	19	0,6	0	0	0	0	0,136045579
Villa_Reynolds_Aero	San_Luis	10430	15,4	11	1013,9	957,3	14,3	1,2	4,6	25	7	0	0	0	0	0,079190277
El_Bolson	Rio_Negro	10717	8,4	3,2	1012,4	972,1	17,9	3,9	9,8	17,5	4,1	0	1	0	0	0,397415534
Presidencia_R_S_Penia_Aero	Chaco	10925	14,2	3,4	1023,8	1012,6	20	4	6,7	22,4	3,2	0	0	0	0	0,95450969
San_Rafael_Aero	Mendoza	10131	23,8	16,1	1006,3	923,8	20	3,3	5,1	32	17,8	0	0	0	0	0,35907796
Villa_Dolores_Aero	Cordoba	10526	13,8	3,9	1012,5	946,8	29,9	2,6	3,6	24,1	7,8	0	0	0	0	0,008264606
Bahia_Blanca_Aero	Buenos_Aires	10104	26,4	13,8	1009,6	1000,1	14,3	9,9	13,4	32	21,6	0	0	0	0	0,777183471
Mar_Del_Plata_Aero	Buenos_Aires	11008	15,2	9,6	1021,4	1018,9	9,2	6,1	10,3	24,2	10	0	0	0	0	0,902835923
Dolores_Aero	Buenos_Aires	10408	14	7,8	1019	1018	10	2,2	5,1	23	6	0	0	0	0	0,47604249
Rosario_Aero	Santa_Fe	10615	11,1	7,6	1019,6	1016,5	12,1	4,2	6,7	16,2	7,9	0	0	0	0	0,081928895
Mendoza_Aero	Mendoza	10526	13,3	3	1010,5	930,1	11,6	0,5	2,6	24	4,7	0	0	0	0	0,74801381
La_Plata	Buenos_Aires	10913	10,2	9	1018,2	1015,4	8,9	9	10,8	16,5	8,5	0	1	0	0	0,232140475
Ezeiza_Aero	Buenos_Aires	10210	27,3	20,6	1009	1006,6	10,1	3,7	6,7	33,4	21	0	1	0	0	0,825066169
Corrientes_Aero	Entre_Rios	10709	15,3	13,2	1020,2	1012,7	9,8	2	4,1	19	11	0	0	0	0	0,38418701
Viedma_Aero	Rio_Negro	10815	12,6	-1,1	1005,3	1004,8	26,1	6,7	9,3	17,3	1,9	0	0	0	0	0,437965403
Azul_Aero	Buenos_Aires	10630	5,2	-3,5	1020,3	1002,1	17,5	2,2	4,6	14	-1,6	0	0	0	0	0,463059943
Chamical_Aero	La_Rioja	10210	29,9	14,2	1005,3	954,6	20	3,7	8,7	38	25,8	0	1	0	0	0,930725657
Presidencia_R_S_Penia_Aero	Chaco	10729	22,5	14,2	1016,5	1005,7	20	3,5	5,7	33,2	12,8	0	0	0	0	0,617404305
Ceres_Aero	Santa_Fe	11026	18,8	14,7	1013,8	1003,5	12,6	4,8	6,2	22,9	15,8	0	1	0	0	0,614093586
Trelew_Aero	Chubut	10909	18,6	3,8	996,9	991,9	27,2	8	12,9	25,7	8,6	0	0	0	0	0,927507571
Santiago_Del_Estero_Aero	Santiago_del_Estero	10307	26,4	18,9	1007,8	985,5	14,6	1,5	2,6	31	20,4	0	0	0	0	0,672070373
San_Luis_Aero	San_Luis	10811	11,9	-7,3	1012,3	929,9	20	4	8,2	19,2	6,9	0	0	0	0	0,842956601
Tartagal_Aero	Salta	10711	18,8	13,6	1007,6	956,7	9,8	1,2	3,1	25,4	11	0	0	0	0	0,845568704
Esquel_Aero	Chubut	11013	10,4	-0,8	1012,7	921	18,8	6,1	9,3	19,5	6,2	0	0	0	0	0,993581079
Rosario_Aero	Santa_Fe	11021	19,3	6,3	1011,8	1008,9	14,3	4,1	7,7	30,7	12,3	0	0	0	0	0,14761486
Ezeiza_Aero	Buenos_Aires	10613	19,8	16,3	1014,8	1012,4	9,8	3,3	5,1	24,2	15,6	0	0	0	0	0,760912368
Neuquen_Aero	Neuquen	10304	19,2	8,9	1018,3	986,6	12,9	1,9	6,2	27	10,9	0	0	0	0	0,365198326
General_Pico_Aero	La_Pampa	10515	5,9	-4,3	1021,6	1004,1	18,2	6,1	11,3	16,7	-3,5	0	0	0	0	0,082888198
Ushuaia_Aero_II	Ushuaia	10406	5,2	-0,5	978	971,2	12,9	8,5	14,4	8,4	2,4	0	1	1	0	0,494699646
Paso_De_Los_Libres_Aero	Corrientes	10721	7,6	1	1016,4	1007,8	10,9	6,3	11,3	11	3,8	0	0	0	0	0,74269983
Trelew_Aero	Chubut	10107	18,4	-2,1	996,8	991,8	27,7	10,2	15,4	29,9	14	0	0	0	0	0,668393753
El_Bolson	Rio_Negro	11028	15,3	3,3	1012,5	972,7	29,9	0,5	3,1	24,7	1,8	0	0	0	0	0,898525812
Cordoba_Aero	Cordoba	11011	16,7	14	1015	958,1	7,9	2	5,1	20,1	12	0	1	0	0	0,721839653
Resistencia_Aero	Chaco	10903	19	12,7	1013,7	1007,6	6,9	3,3	7,7	30,4	14	0	0	0	0	0,733792574
Dolores_Aero	Buenos_Aires	10901	11,5	8,6	1013,3	1012,2	6	1,5	2,6	25,2	4,7	1	0	0	0	0,692663482
San_Martin_Mza	Mendoza	10424	20,5	12,1	1012,2	938,7	15	2,2	3,1	28,4	14,3	0	0	0	0	0,746550749
Tandil_Aero	Buenos_Aires	11107	15,9	12,2	1013,5	993	13,8	3,7	5,7	25,7	12,6	0	1	0	0	0,683820633
Resistencia_Aero	Chaco	10329	20,8	17	1015,9	1009,8	10,1	1,1	3,1	28,7	15,5	0	0	0	0	0,559237579
Tandil_Aero	Buenos_Aires	10227	13,4	5,9	1016,5	995,6	17,5	1,4	3,1	24,5	2,5	0	0	0	0	0,54170133
Neuquen_Aero	Neuquen	10825	-0,1	-4,8	1036,7	1002,2	12,4	1,9	5,7	6	-5,5	0	0	0	0	0,777028092
Concordia_Aero	Entre_Rios	10725	8,1	1,7	1028,1	1023,4	13,5	3,7	7,7	14,8	0,5	0	0	0	0	0,257794897
Mar_Del_Plata_Aero	Buenos_Aires	10626	4,6	2	1014,9	1012,3	5,1	1,9	5,1	15	-3,1	1	0	0	0	0,792449196
Rosario_Aero	Santa_Fe	10719	5,7	0,5	1024,8	1021,7	11,4	2,4	3,6	11,4	1,8	0	0	0	0	0,589267838
Comodoro_Rivadavia_Aero	Chubut	10623	10,8	0,3	1014	1008,4	16,6	6,3	9,8	14	5	0	0	0	0	0,639960984
Paso_De_Los_Libres_Aero	Corrientes	10731	20,4	15,6	1013,1	1004,8	10,8	4,3	6,2	27,2	13,9	0	0	0	0	0,55796269
Tandil_Aero	Buenos_Aires	11014	17,1	10,4	1015	994,3	14,6	2,6	6,7	25,4	6,7	1	0	0	0	0,086092585
Tartagal_Aero	Salta	10722	7,7	-4,2	1025,7	972,3	10	2,6	5,1	12	3,6	0	0	0	0	0,945265229
Paso_De_Los_Libres_Aero	Corrientes	10413	15,4	9,4	1018,9	1010,5	11,3	4,7	7,7	20	9,8	0	0	0	0	0,325883668
Rio_Cuarto_Aero	Cordoba	10109	22,4	14,8	1015,1	966,9	12,2	4,2	8,7	31,6	16	0	0	0	0	0,796805394
Corrientes_Aero	Entre_Rios	10117	28,3	21,9	1007,6	1000,6	9,7	2,1	4,1	35,2	22,4	0	0	0	0	0,133552779
Rio_Cuarto_Aero	Cordoba	10529	13,1	0,9	1010,5	961,3	12,2	5,7	12,3	20,5	6,8	0	0	0	0	0,793002821
San_Luis_Aero	San_Luis	10517	8,5	0,3	1021,1	937,3	20	3,1	5,1	17	2	0	0	0	0	0,240426874
Reconquista_Aero	Santa_Fe	10319	18,4	17,6	1014,8	1008,5	5,6	3,3	5,7	23,5	17,4	0	1	0	0	0,788265702
General_Pico_Aero	La_Pampa	10422	20,2	14,2	1016,4	999,3	18,7	3,5	5,1	29	12,8	0	0	0	0	0,143596212
Laboulaye_Aero	Cordoba	10515	7,6	-0,1	1021,5	1004,7	9,5	2,6	7,2	15,6	1,3	0	1	0	0	0,845600733
Catamarca_Aero_II	Catamarca	10902	19,2	-0,9	1008,8	957,1	15	2,6	4,6	31,9	7,4	0	0	0	0	0,477633429
Paso_De_Los_Libres_Aero	Corrientes	10320	21,2	18,3	1008,7	1003	11,1	3,7	6,2	24	16,8	0	1	0	0	0,553153578
Mendoza_Aero	Mendoza	10707	6,8	1,5	1026	942,9	12,4	1,6	3,1	11,4	3,6	0	0	0	0	0,932879487
San_Rafael_Aero	Mendoza	11029	20	8,2	1009,1	925,9	18,8	3,3	6,2	32,7	12,4	0	1	0	0	0,496738529
Paso_De_Los_Libres_Aero	Corrientes	10706	23,1	19,9	1011,6	1003,5	11,1	5,4	9,3	26	20	0	1	0	0	0,921808247
Formosa_Aero	Formosa	10520	15,6	13,8	1019,5	1012,4	14,5	2,5	4,1	17	14	0	1	0	0	0,124870532
La_Rioja_Aero	La_Rioja	11014	28	14,6	1009,7	961,9	19	2	3,1	32,5	18,2	0	0	0	0	0,289003622
Monte_Caseros_Aero	Corrientes	11007	18,6	7,5	1023,3	1017	20	3,9	5,1	26	11,3	0	0	0	0	0,732736754
Bahia_Blanca_Aero	Buenos_Aires	10726	11	1,5	1017,3	1007,2	14,3	9,4	14,4	17,2	5,8	0	0	0	0	0,410011978
Santa_Rosa_Aero	La_Pampa	10522	8,8	5,3	1021,1	997,7	12,7	2,2	4,1	18,9	-0,2	1	0	0	0	0,369582133
Pilar	Cordoba	10817	8,2	-4,7	1027,1	986,1	13,4	3,5	7,2	18,8	-1,8	0	0	0	0	0,344238323
Catamarca_Aero_II	Catamarca	10516	10,7	3,3	1023,4	969,5	20	5,1	11,3	19,1	5,5	0	0	0	0	0,154835027
General_Pico_Aero	La_Pampa	10418	21,8	14,2	1013,2	996,1	18,5	2,6	3,1	31	14,2	0	0	0	0	0,858167598
Resistencia_Aero	Chaco	10923	12,7	7,1	1025	1018,7	10,6	4,6	8,2	18	7,6	0	0	0	0	0,809118869
Pilar	Cordoba	10427	19,6	13,8	1011	972,3	14,2	2,6	4,1	29,1	12,1	0	1	0	0	0,873320087
Chamical_Aero	La_Rioja	10107	29,3	17,5	1000,7	949,9	20	1,9	5,1	37,2	19	0	0	0	0	0,859585365
San_Luis_Aero	San_Luis	10831	20,1	-0,3	1008,1	928,7	20	2,8	4,1	30,8	11,9	0	0	0	0	0,597121734
Mar_Del_Plata_Aero	Buenos_Aires	10812	6,4	3,2	1010	1007,4	8,7	5,3	8,2	16,8	2	0	1	0	0	0,539646721
Mar_Del_Plata_Aero	Buenos_Aires	10712	8,4	7,5	1019,6	1017,1	5,6	4,2	8,7	12	5	1	0	0	0	0,381747953
Tandil_Aero	Buenos_Aires	11028	11,1	4,6	1019,1	998,1	18,2	2,4	5,7	20,5	3,8	0	0	0	0	0,618461961
Iguazu_Aero	Misiones	11004	20,9	16,1	1014,3	983,1	6	4,1	8,2	26	18,4	1	0	0	0	0,639507405
Trelew_Aero	Chubut	10901	9,5	4,8	1012,7	1007,5	16,9	3,3	9,3	15,6	4	1	0	0	0	0,555636609
Viedma_Aero	Rio_Negro	10606	9,1	2,4	1013,7	1012,8	29,9	5,8	11,8	15,7	2,4	0	1	0	0	0,786587847
Comodoro_Rivadavia_Aero	Chubut	11109	10,7	3,7	1013,6	1008	21,1	4,4	9,3	16,4	4,6	0	0	0	0	0,230778959
Ushuaia_Aero_II	Ushuaia	10527	-3,1	-4,8	1006,1	998,9	17,1	2,8	5,1	0,5	-5	0	0	0	0	0,92908925
Formosa_Aero	Formosa	10125	23,1	20,8	1008,4	1001,6	10,6	6,2	12,3	27,8	20	0	1	0	0	0,380512421
Reconquista_Aero	Santa_Fe	10928	20,3	14,5	1013,2	1006,9	7,7	4,1	6,7	25,7	13,5	0	0	0	0	0,052267011
Corrientes_Aero	Entre_Rios	11103	20,4	13,9	1015,6	1008,2	10	4	7,7	25,2	16,6	0	0	0	0	0,767632339
Sauce_Viejo_Aero	Santa_Fe	10530	14,1	5,8	1014,5	1012,4	12,1	3,4	6,2	21,8	7,5	0	0	0	0	0,913301251
Paso_De_Los_Libres_Aero	Corrientes	10503	20,1	18,1	1007,9	999,7	10,6	6,9	13,4	26,8	18	0	1	0	0	0,576093582
Chamical_Aero	La_Rioja	10215	28,8	18,2	1007,6	956,3	20	0,3	1	35,3	20,4	0	0	0	0	0,471386959
San_Julian_Aero	Santa_Cruz	10224	11,6	6,1	1023,5	1016	22	5,3	8,2	14	9,8	0	1	0	0	0,612609334
San_Rafael_Aero	Mendoza	11024	11,9	-0,1	1023,5	936,6	18,2	2,6	4,1	19,2	2,6	0	0	0	0	0,405001114
Ceres_Aero	Santa_Fe	10924	11,6	1,1	1030,9	1020,1	15,9	2,8	5,1	18,5	3	0	0	0	0	0,783510221
Presidencia_R_S_Penia_Aero	Chaco	10819	20,7	10,9	1013,3	1002,5	13,7	3,8	6,2	31,8	10	0	0	0	0	0,918073365
Mar_Del_Plata_Aero	Buenos_Aires	11113	14,4	8,1	1016,1	1013,5	9,3	4,2	9,3	24,4	4,4	0	0	0	0	0,139892754
San_Luis_Aero	San_Luis	10814	7,5	-4,8	1030,1	945	20	4,7	8,2	14,7	0,8	0	0	0	0	0,259381971
Posadas_Aero	Misiones	10501	25,2	20,2	1013,5	999,1	13,2	1,4	3,1	32	20,5	0	0	0	0	0,607346427
La_Plata	Buenos_Aires	10517	8,8	3,8	1025,8	1022,9	9,8	2,1	3,1	13,9	2,3	0	0	0	0	0,691247925
Oran_Aero	Salta	11015	21,4	19,7	1014,1	973,6	8	3,1	5,1	24,6	19,8	0	0	0	0	0,276656129
Presidencia_R_S_Penia_Aero	Chaco	10313	22,4	18,8	1010,9	1000	20	3,6	6,7	27	17,6	0	0	0	0	0,545374692
Gualeguaychu_Aero	Entre_Rios	10208	27,1	17,6	1012,9	1010,3	15	2,6	5,1	31,5	20,1	0	0	0	0	0,746554121
Dolores_Aero	Buenos_Aires	10628	10,6	8,7	1011,4	1010,3	9,2	4,1	5,1	18,8	2,6	0	0	0	0	0,863012314
Concordia_Aero	Entre_Rios	10807	20,3	11,1	1005,3	1000,8	15	5,1	8,2	31,4	10	0	0	0	0	0,40457233
Dolores_Aero	Buenos_Aires	10126	17	8,3	1013,6	1012,5	10	3,5	8,2	26,9	8,6	0	0	0	0	0,353789689
Paso_De_Los_Libres_Aero	Corrientes	10611	15,2	13,1	1019,9	1011,5	5	2,3	4,1	22,4	10,8	1	0	0	0	0,901272936
La_Rioja_Aero	La_Rioja	10427	20,6	11,8	1008,9	960,4	18	2,5	5,1	31,2	14	0	0	0	0	0,368886067
Azul_Aero	Buenos_Aires	10627	9,3	4,8	1014	996,1	15	2,7	6,2	16	-3	0	0	0	0	0,730281402
La_Plata	Buenos_Aires	10208	25,2	15,8	1014,9	1012,2	9,7	3,9	5,7	29,3	20	0	0	0	0	0,852422032
Iguazu_Aero	Misiones	11020	23	17,6	1007	976,2	16,6	3,7	7,7	34	13,9	0	0	0	0	0,375222283
Junin_Aero	Buenos_Aires	10222	20,4	15,3	1016,9	1007,3	10,9	4,9	8,7	27,2	12,5	0	0	0	0	0,671477872
Santa_Rosa_Aero	La_Pampa	10125	17,7	6	1016	993,6	19,2	5,1	11,3	29,2	9,2	0	0	0	0	0,184908523
Paso_De_Los_Libres_Aero	Corrientes	10128	24,2	14,7	1014,8	1006,7	11,4	5,1	8,7	33	17,3	0	0	0	0	0,300370348
Iguazu_Aero	Misiones	10405	21,1	18,3	1010	978,9	12,1	2,7	5,1	25	18	0	1	0	0	0,816188741
Rosario_Aero	Santa_Fe	10515	10,6	2,8	1018,6	1015,6	10,6	6,3	10,3	22,5	7	0	1	0	0	0,79853416
San_Luis_Aero	San_Luis	11027	24,7	4,7	1012,5	933,6	20	7	9,3	30,4	17,7	0	0	0	0	0,538025707
Oran_Aero	Salta	10627	13,4	10,1	1013,6	972,1	10	2,8	5,1	22,4	7,4	0	0	0	0	0,893584253
Mar_Del_Plata_Aero	Buenos_Aires	11001	9,9	8,2	1016,4	1013,8	3,7	9,4	13,4	11,4	8,8	0	1	0	0	0,540958387
Resistencia_Aero	Chaco	10925	12,2	6,5	1025,1	1018,7	9,8	2,7	6,2	20	1,9	0	0	0	0	0,722033141
San_Luis_Aero	San_Luis	10801	11,4	-1,3	1016,4	934,1	20	5,6	6,2	15,3	8,8	0	0	0	0	0,548851431
La_Rioja_Aero	La_Rioja	10428	21,6	9,3	1011,6	962,7	20	2,3	4,1	26,4	10	0	0	0	0	0,651592655
Tandil_Aero	Buenos_Aires	10122	21	14,2	1018,7	998,3	15,9	4,3	6,7	28	11	0	0	0	0	0,140573548
Ushuaia_Aero_II	Ushuaia	10811	-0,3	-3	983,4	976,4	6,9	8,8	18,5	7,6	-4	0	1	1	0	0,06766199
Laboulaye_Aero	Cordoba	10724	5,2	-4,3	1027,1	1010	10	0,6	2,1	14,4	-4,7	0	0	0	0	0,576939861
Resistencia_Aero	Chaco	10812	13,7	6,5	1012,1	1005,8	12,6	2,4	4,1	22	6,2	0	0	0	0	0,653188702
Comodoro_Rivadavia_Aero	Chubut	10317	15,7	9,1	1018,6	1013	15,9	2,5	7,7	22,4	7,4	0	0	0	0	0,393420092
Mar_Del_Plata_Aero	Buenos_Aires	10729	9,8	6,6	1022,2	1019,7	7,9	3	5,1	19	1,8	1	0	0	0	0,869937486
Concordia_Aero	Entre_Rios	11101	23,5	20,2	1005,9	1001,4	13,7	7,8	13,4	28,6	19	0	1	0	0	0,456523099
Junin_Aero	Buenos_Aires	10414	15,6	6,2	1014,3	1004,5	10,9	3,9	10,3	25	7,2	0	0	0	0	0,102327405
Neuquen_Aero	Neuquen	10618	7,7	-6,1	1016,5	983,6	11,3	4	9,3	13	-4,8	0	1	0	0	0,820139103
Viedma_Aero	Rio_Negro	10122	29,7	14,9	1011,6	1010,8	29,9	6,8	8,7	35,9	21,2	0	0	0	0	0,704765703
Bahia_Blanca_Aero	Buenos_Aires	10429	16	14,6	1012,5	1002,6	4,8	2,3	6,2	20,8	14	1	0	0	0	0,273812144
Catamarca_Aero_II	Catamarca	10310	27,2	18,4	1003,7	954	17,7	5,3	9,3	40,8	19,5	0	1	0	0	0,043286524
Posadas_Aero	Misiones	10304	21,6	18,2	1014	998,9	12,9	2,5	5,7	25,5	18,8	0	1	0	0	0,224914956
Tandil_Aero	Buenos_Aires	10219	16,3	7,8	1020,7	1000	18,2	2,1	4,1	24,2	8,9	0	0	0	0	0,201174873
Tartagal_Aero	Salta	10420	24,3	9,7	1012,1	962,1	10	0,9	3,1	32,6	13,6	0	0	0	0	0,95215963
Junin_Aero	Buenos_Aires	11108	16,9	13,6	1012,6	1003	7,6	3	5,1	23	10,2	1	0	0	0	0,212106851
Formosa_Aero	Formosa	10705	25,2	19,8	1012,2	1005,3	14,3	5,8	12	30	21,8	0	0	0	0	0,126660823
Rosario_Aero	Santa_Fe	10817	8,8	0,3	1027,3	1024,2	14	4	8,8	19,6	-0,9	0	0	0	0	0,668693986
Neuquen_Aero	Neuquen	11003	10,6	1,1	1021,9	989,1	14,2	2	4,1	20	2	0	0	0	0	0,086106408
San_Martin_Mza	Mendoza	11017	22,1	10,2	1014,3	941	15	2,2	2,6	28,6	14,8	0	0	0	0	0,263210274
Santiago_Del_Estero_Aero	Santiago_del_Estero	10205	30,2	15,5	1009,3	986,9	14,6	3,2	6,2	37,4	22,8	0	0	0	0	0,744162031
Tucuman_Aero_II	Tucuman	11107	29,5	11,9	1003,6	954,5	11,1	3,6	6,2	37,4	23,2	0	0	0	0	0,637651144
Ushuaia_Aero_II	Ushuaia	10214	12,1	4,2	982,9	976,2	16,6	6,7	17	15	8,5	0	1	0	0	0,628542451
Junin_Aero	Buenos_Aires	10727	10,6	4,8	1020,6	1010,6	8,4	2,7	5,7	19	3,2	0	0	0	0	0,965827784
El_Bolson	Rio_Negro	10724	3,1	-0,4	1024,1	982,2	19,2	0,4	2,6	9,3	-4,5	1	0	0	0	0,052373003
Pilar	Cordoba	10120	22	14,3	1020,4	981,5	20	2,4	3,6	30	15,5	0	0	0	0	0,290611288
La_Rioja_Aero	La_Rioja	10915	9	7,2	1019	968,2	8	2,1	3,1	14,7	6	0	1	0	0	0,686517399
San_Julian_Aero	Santa_Cruz	10714	6,3	-2,7	1007,9	1000,3	29,9	6,7	9,3	10,7	1,2	0	0	0	0	0,841747607
Junin_Aero	Buenos_Aires	10108	22,1	15,2	1008,2	998,9	11,9	3	5,1	30,4	16,4	0	0	0	0	0,874497645
Santa_Rosa_Aero	La_Pampa	10311	18,3	9,4	1007,1	984,9	29,9	4,2	7,2	26,1	13,4	0	0	0	0	0,3046626
Cordoba_Aero	Cordoba	10408	15,9	7,8	1018,5	960,8	11,4	2,8	4,1	25	8	0	0	0	0	0,602228007
Ushuaia_Aero_II	Ushuaia	10512	4,6	-0,4	972,6	965,8	14,5	7,8	14,4	7,1	2	0	1	0	0	0,301756926
Corrientes_Aero	Entre_Rios	10601	19,8	15,3	1010	1002,7	8,7	1,3	3,6	26	14,4	0	0	0	0	0,129830257
San_Antonio_Oeste_Aero	Rio_Negro	10517	8	-3,1	1022,2	1019,7	29,9	5,3	8,2	17,7	-2,2	0	0	0	0	0,197795476
Ushuaia_Aero_II	Ushuaia	11009	6,9	-0,6	991,4	984,5	16,4	5,9	14,9	10	4	0	1	0	0	0,529913359
Tandil_Aero	Buenos_Aires	10909	15,7	11,3	1011,4	990,7	17,5	3,1	9,3	25,6	7,8	0	0	0	0	0,801448756
Tandil_Aero	Buenos_Aires	10508	12,9	3,2	1009,3	988,4	17,5	4,7	8,7	23,4	5	0	0	0	0	0,689272167
Tartagal_Aero	Salta	10621	10,3	5,6	1016,8	963,8	10	1	2,1	20	6,8	0	1	0	0	0,156277013
Iguazu_Aero	Misiones	10819	18	12,9	1018,8	987,1	20	3,6	7,7	27	12	0	0	0	0	0,766913262
Posadas_Aero	Misiones	10830	18,9	9,5	1017,1	1002,3	14,2	2	4,1	28,2	11	0	0	0	0	0,838179675
Concordia_Aero	Entre_Rios	11110	20,5	18,8	1002,5	998	12,2	6,6	8,2	24,4	19,5	0	1	0	0	0,452568325
Cordoba_Aero	Cordoba	10218	15,8	8,3	1018,6	961,1	10,5	4	8,7	19,9	12	0	1	0	0	0,527914323
Bahia_Blanca_Aero	Buenos_Aires	10630	5,8	-3,1	1020,2	1009,9	14,6	2,7	5,1	12	2,2	0	0	0	0	0,266288379
Rio_Gallegos_Aero	Santa_Cruz	10608	6,3	-0,4	997,2	995	17,2	7,2	12,3	11	2,4	0	0	0	0	0,87783271
Rio_Gallegos_Aero	Santa_Cruz	11005	8,7	-0,9	1010,7	1008,4	17,9	4,3	10,3	16,3	1	0	1	0	0	0,953592254
Resistencia_Aero	Chaco	10723	5,2	-1,6	1028,7	1022,2	10,6	1,5	3,1	13	-3	0	0	0	0	0,613185553
Oran_Aero	Salta	11017	23,6	18,5	1011,4	971,2	10	2,1	4,1	30,2	20	0	0	0	0	0,280167984
Santa_Rosa_Aero	La_Pampa	10622	10,3	-1,8	1014,5	991,5	26,7	2,6	5,7	17,5	3,1	0	0	0	0	0,659677394
Pilar	Cordoba	11016	21,2	12,7	1015,7	976,9	18,2	3,6	7,7	30,3	17	0	1	0	0	0,246260778
Tucuman_Aero_II	Tucuman	10831	21,9	2,5	1006,6	956	4,3	3,1	5,1	32	13	0	0	0	0	0,978118903
San_Luis_Aero	San_Luis	10122	25,6	13,8	1011,9	933,2	18,5	3,9	6,2	31	19,4	0	1	0	0	0,647338425
Villa_Dolores_Aero	Cordoba	10622	9,8	-5,1	1013,4	946,7	23,2	2,5	4,1	19,3	1,2	0	0	0	0	0,893595851
